Titre,Est_Predateur
International Economic Policy,0
Australian Journal of Basic and Applied Sciences,1
Pelagia Research Library,1
DISA Publication Group,1
مطالعات روان‌شناسی ورزشی,0
Acta Angiologica,0
Australian Journal of Grape and Wine Research,0
Techne,0
Journal for Digital Legal History,0
Mokslo Taikomieji Tyrimai,0
Cendekia: Jurnal Pendidikan dan Pembelajaran,0
Revista de Letras Norte@mentos,0
International Journal of Innovation and Research in Educational Sciences,1
ComTech,0
Journal of Moral Theology,0
Journal of Media Critiques,1
International Journal of Advanced Technology in Engineering and Science,1
Pharma Innovation,1
World Research Library,1
Plant Digest,1
Analele Asociatiei Profesionale a Geografilor din Romania,0
Romanian Biotechnological Letters,1
International Letters of Social and Humanistic Sciences,1
To Improve the Academy,0
Kovalen: Jurnal Riset Kimia,0
Revista de Estudos Jurídicos da UNESP,0
"OAE Publishing, Inc.",1
Southern African Field Archaeology,0
The Journal of Medical Research,1
International Journal of Current Innovation Research ,1
International Review of Social Sciences and Humanities,1
Journal of Inflammation Research,0
Revista Oficial del Poder Judicial,0
International Journal for Innovation Education and Research,1
Gondang: Jurnal Seni dan Budaya,0
Open Research Society,1
SISFORMA,0
Journal of Parkinson’s Disease,0
Drones,0
Aquaculture and Fisheries,0
UniversityPublications.net,1
Animal Behavior and Cognition,0
"Journal of Health, Sport and Tourism",1
European Journal of Educational Sciences,1
Topclass Global Journals,1
International Journal of Multidisciplinary Educational Research,1
Journal of Interdisciplinary Socio Economic and Community Study,0
"Research Institute for Science, Technology, and Society",1
Herbert Open Access Journals,1
World Journal of Pharmacy and Pharmaceutical Sciences,1
Genre & Histoire,0
Komunika,0
Revista de Comunicación,0
Journal of Applied and Computational Mechanics,0
Journal of Midwifery,0
Journal of Physiotherapy,0
Foundation for Promotion of Basic & Applied Science,1
Annals of EURASIAN MEDICINE,1
Einstein International Journal Organization,1
Bulletin of Emergency and Trauma,0
Thales Academic Publisher,1
Communio Viatorum,0
International Scientific Invention Journals,1
Pattern Recognition in Physics,1
Insight Medical Publishing,1
Journal of Current Pharma Research,1
Journal Issues,1
SciRex,1
Arabian Group of Journals,1
Jurnal Delima Harapan,0
Journal of Medical Ultrasound,0
Occhialì,0
Eurasia: Economics & Business,0
Temporalités,0
International Journal of Law and Management Studies,1
Rua,0
Shri Param Hans Education & Research Foundation Trust,1
International Journal of Engineering Technology and Scientific Innovation,1
Ecoletra.com Scientific eJournal,1
Scholaria: Jurnal Pendidikan dan Kebudayaan,0
Olivar: Revista de Literatura y Cultura Españolas,0
The Lancet Regional Health - Southeast Asia,0
International Journal of Basic Medical Sciences and Pharmacy,1
"Egyptian Academic Journal of Biological Sciences. B, Zoology",0
Scholarly Journals,1
International Journal of Engineering Research & Technology,1
Philippine Social Science Journal,0
Tennessee Libraries,0
De Genere,0
HISTOReLo: Revista de Historia Regional y Local,0
Journal of Human Resource and Adult Learning,1
Sanskruti International Multidisciplinary Research Journal,1
South Pacific Journal of Pharma and Bio Sciences,1
História Revista,0
Institute of Electronic & Information Technology,1
Finlogy,1
Revista Catalana de Dret Públic,0
"International Journal of Advance Research, Ideas and Innovations in Technology",1
Geodetski Vestnik,0
Jurnal Pendidikan Bahasa dan Sastra Indonesia Metalingua,0
Clinical Pathology,0
Biofilm,0
Journal of Process Management New Technologies International,1
International Journal of Advances in Social Science and Humanities,1
Legal Research Development,1
International Journal of Advanced Life Sciences,1
Competitio,0
European Journal of Contemporary Economics and Management,1
Jurnal Pengukuran Psikologi dan Pendidikan Indonesia,0
Researchers World – Journal of Arts Science & Commerce,1
International Journal of Smart and Nano Materials,0
VIBGYOR Online Publishers,1
Sri Lanka Journal of Social Sciences,0
Proceedings of the International Conference on Applied Innovations in IT,0
Perspectivas en Inteligencia,0
International Journal of Advanced Engineering and Nano Technology,1
IUS Doctrina,0
فصلنامه فرهنگی- تربیتی زنان و خانواده,0
Ветеринария и кормление,0
International Journal of Multidisciplinary and Scientific Emerging Research,1
Romanian Military Thinking,0
International Journal of Applied and Pure Science and Agriculture,1
مجله علوم و فنون هسته‌ای,0
Alchemy,0
"International Journal of Computer Science, Information Technology, & Security",1
Academic Journal of Modern Philology,0
PressAcademia,1
Contemporary Chinese Political Economy and Strategic Relations: An International Journal,0
Frontiers in Materials,0
Current Issues in Education,0
Darshan Publishers,1
The Ulutas Medical Journal,1
Science Sights,1
Estudios sobre las Culturas Contemporáneas,0
Цифровые модели и решения,0
Congress Press,1
International Journal of Current Research in Chemistry and Pharmaceutical Sciences,1
World Academic Journal of Business & Applied Sciences,1
Scholoxy Publications,1
Ingeniería e Innovación,0
Descentrada,0
Quarterly Physics Review,1
Jurnal Penegakan Hukum dan Keadilan,0
An-Nadaa: Jurnal Kesehatan Masyarakat,0
Advance Journals of Engineering Mathematics and Computer Sciences,1
Computational Research Progress in Applied Science & Engineering,1
International Journal of Chemical and Pharmaceutical Sciences,1
Weekly Science International Research Journal,1
EDUVED Global Management Research,1
Journal of Animal and Plant Sciences,1
Chemical and Process Engineering,0
Albert Science International Organization,1
Kiban Research Publications,1
Revista Ecuatoriana de Pediatría,0
Revista de Investigaciones de la Universidad Le Cordon Bleu,0
Refracción,0
"G-Journal of Education, Social Science and Humanities",1
Frontiers in Stroke,0
International Journal of Advanced Technology and Innovative Research,1
Migrating Minds,0
Regiones y Desarrollo Sustentable,0
International Journal of Medical Research,1
Maryland Institute of Research,1
Multidisciplinary Journals,1
American International Journal of Contemporary Research,1
Journal of Advances in Internal Medicine,1
International Journal of English Language & Translation Studies,1
Revista de Morfologia Urbana,0
Macoctagon Journals,1
Teoría de la Educación: Educación y Cultura en la Sociedad de la Información,0
Maguaré,0
Imagofagia,0
Journal of Medicinal Plants for Economic Development,0
Tlalli Revista de Investigación en Geografía,0
International Journal of Pharmacy and Pharmaceutical Sciences,1
IJEBD (International Journal of Entrepreneurship and Business Development),0
Journal of Environmental Hydrology,1
Meat Technology,0
Phaselis: Disiplinlerarası Akdeniz Araştırmaları Dergisi,0
ORIC Publications,1
International Educational E-Journal,1
healthbook TIMES. Oncology Hematology,0
Muṭāli̒āt-i Mudīriyyat-i Gardishgarī,0
npj Women's Health,0
JOINS (Journal of Information System),0
Cuadernos AISPI,0
Geosul,0
Science Instinct Publications,1
Pakistan Journal of Gender Studies,0
Revista CROMA,0
ARPN Journals,1
IXTLI,0
SAVAP International,1
e-Agronegocios,0
Infectious Disease Modelling,0
Mehta Press,1
Knowledge Engineering and Data Science,0
Austrian Law Journal,0
International Journal of Chemical Studies,1
"Journal of Environmental Science, Computer Science and Engineering & Technology",1
Cambridge Prisms: Plastics,0
Jiàoyù zīliào yǔ túshūguǎn xué,0
Egyptian Journal of Animal Health,0
Современная Европа,0
Current Botany,1
International Journal of Universal Pharmacy and Bio Sciences,1
Centre For Info Bio Technology,1
AoB Plants,0
Buletin Psikologi,0
Guangdong nongye kexue,0
"African Journal of Traditional, Complementary and Alternative Medicines",1
International Science & Research Journals,1
Sanctum Domine,0
Journal of Basic and Applied Research in Biomedicine,0
The European Chemistry and Biotechnology Journal,0
CIRWORLD,1
World Science Publisher,1
Progress in Microbes and Molecular Biology,0
International Journal of Mathematical Research & Science,1
"International Research Association of Computer Science, & Technology",1
Pathos,0
International Journal of Mosquito Research,1
Uluslararası Hakemli İletişim ve Edebiyat Araştırmaları Dergisi [alt] UHIVE,1
Ivy Union Publishing,1
Теоретическая и экспериментальная психология,0
Jixie qiangdu,0
Free & Equal,0
International Journal Of Multidisciplinary Research and Review,1
WIT Press,1
International Journal of Social Sciences and Education,1
Sprawozdania Archeologiczne,0
Health and Quality of Life Outcomes,0
Science and Knowledge Research Society,1
African Entomology,0
Macrothink Institute,1
"Glocalism: Journal of Culture, Politics and Innovation",0
Journal of Research in Preventive and Social Medicine,1
Journal of Politics in Latin America,0
Generics and Biosimilars Initiative Journal,1
Webcrawler Journals,1
NTU Journal of Engineering and Technology,0
Recerca: Revista de Pensament i Anàlisi,0
Modern Scientific Press,1
Revista de Salud Pública del Paraguay,0
Jurnal Vokasi Indonesia,0
Visegrad Journal on Bioeconomy and Sustainable Development,0
Czytanie Literatury,0
Journal of Hydrology and Hydromechanics,0
Bulletin of Applied and Research Science,1
Nuevas Glosas: Estudios Lingüísticos y Literarios,0
Revista Educación Las Américas,0
Psycho Idea,0
Begawan Abioso,0
Navus: Revista de Gestão e Tecnologia,0
Oncologie,0
Galore Knowledge Publication Pvt. Ltd.,1
Professionals Center for Business Research,1
International Journal of Scientific Research,1
Revista Brasileira de Alfabetização,0
International Journal of Human Sciences,1
International Journal of Artificial Intelligence and Mechatronics,1
Bell Press,1
Ethnobiology Letters,0
Online Journal of Library & Information Science,1
Polymatheia,0
Animal Welfare,0
"Hans Publishers, Inc.",1
Nova Explore Publications,1
eScience Publisher,1
Apunts Sports Medicine,0
TI Journals,1
JET Publishing,1
Ozean Publications,1
Zeszyty Naukowe Małopolskiej Wyższej Szkoły Ekonomicznej w Tarnowie,0
Revista Cubana de Reumatología,0
Medical Research Archives,1
Swiss Journal of Research in Business and Social Science,1
International Science and Investigation Journal,1
International Journal of Modern Chemistry and Applied Science,1
Вісник Харківського національного університету імені В.Н. Каразіна. Історія,0
AUT Journal of Civil Engineering,0
International Research Journal of Applied and Basic Sciences,1
"Bulletin of Environment, Pharmacology and Life Sciences",1
Pravni Vjesnik,0
ROBOMECH Journal,0
Swift Journals,1
International Online Journal of Primary Education,1
"The International Journal of Knowledge, Innovation and Entreprenurship",1
Salāmat-i kār-i Īrān,0
American Scientific Research Journals,1
Journal of Harmonized Research Publications,1
Journal of Interventional Cardiology,0
International Cardiovascular Forum [alt],1
Sclerosis,0
Journal of Insect Biodiversity and Systematics,0
New Scientist Publishers,1
Annals of British Medical Sciences,1
Journal of Bangladesh Society of Physiologists,0
مجلة التربية المقارنة والدولية,0
Mora,0
Brazilian Journal of Political Economy,0
Journal of Experimental Sciences,1
"Journal of Microbiology, Immunology and Infection",0
Romani Studies,0
Scholars World- International Refereed Multidisciplinary Journal Of Contemporary Research,1
International Journal of Computer Science and Technology,1
Mathematical and Computational Applications,1
Asian Economic and Social Society,1
International Journal of Pharmacognosy and Phytochemical Research,1
"International Journal of Recent Research in Science, Engineering and Technology",1
"Sciences, Eaux & Territoires",0
Canadian Journal of Pure and Applied Sciences,1
PHARMANEST: An International Journal of Advances in Pharmaceutical Sciences,1
Saudi Journal of Kidney Diseases and Transplantation,0
Journal of Taibah University Medical Sciences,0
Аллергология и Иммунология в Педиатрии,0
Journal of Finance and Data Science,0
International Journal of Humanities and Social Science Research,1
Nordia Geographical Publications,0
Insight Core,1
Fashion and Textiles Review,0
치위생과학회지,0
INSTM Bulletin,0
Archives of Mental Health,0
International Journal of Pharmaceutical Sciences and Drug Research,1
International Journal of Collaborative Research on Internal Medicine & Public Health,1
American Transactions on Engineering & Applied Sciences,1
WFL Publisher,1
Business Perspectives,1
Global Media Journal,1
Savvy Science Publisher,1
"International Journal of Interdisciplinary Research in Science, Society and Culture",1
"Економіка, Eкологія, Cоціум",0
مطالعات مدیریت بهبود و تحول,0
Mağallaẗ Ǧāmiʿaẗ Ǧanūb Al-Wādi Al-Dawliyyaẗ Lil ʿulūm Al-Tarbawiyyaẗ,0
Science Fair Open Library,1
Human and Sciences Publications,1
Journal of Scientific Research and Development,1
Acta Biomaterialia Odontologica Scandinavica,0
Open Access Publishing Group,1
International Journal of Research in Medical & Applied Sciences,1
Specula,0
International Journal of Environmental Science and Development,1
International Journal of Oncology Science,1
Journal of Horticultural Research,0
"Proceedings of the Japan Academy. Series B, Physical and Biological Sciences",0
Springwood Publishing Corporation,1
Journal of Pharmacy and Bioallied Sciences,0
Current Objectives of Postgraduate American Studies,0
PUP Journal of Science and Technology,0
EQA,0
International Journal of Arts and Commerce,1
Zoonotic Diseases,0
European Journal of Science and Theology,1
Forest@,0
Advancement and Development in Technology International,1
International Journal for Simulation and Multidisciplinary Design Optimization,0
Lifestyle Journal,0
Psikoislamika,0
Applied Rheology,0
Wudpecker Research Journals,1
Journal of Emerging Trends in Computing and Information Sciences,1
Sci-Edit Publications,1
Canadian Journal of Basic and Applied Sciences,1
International Journal of Research in Pharmacy and Science,1
British Association of Academic Research,1
South Asian Academic Research Journals,1
International Journal of Advanced Research,1
Anali Hrvatskog Politološkog Društva,0
International House for Academic Scientific Research [Link dead as of 2013-01-02],1
Intellectual Archive,1
Phytobiomes Journal,0
Cuadernos del Sur. Historia,0
Council for Innovative Research,1
Revista IUSTA,0
Quaderni Veneti,0
International Journals of Research Papers,1
Jurnal Perspektif Pembiayaan dan Pembangunan Daerah,0
Rwanda Medical Journal,0
Journal of Dynamic Decision Making,0
"Математика, інформатика, фізика: наука та освіта",0
International Journal of Sustainable Energy,0
Revue Algérienne des Lettres,0
آموزه‌‌های فلسفه اسلامي,0
Tarbawi,0
e-journal [alt],1
Internet Scientific Publications,1
React/Review,0
Saudi Journal of Oral Sciences,0
Journal of Ophthalmic Inflammation and Infection,0
Руды и металлы,0
Acta Chimica Asiana,0
بیوتکنولوژی و بیوشیمی غلات,0
Annals of Rehabilitation Medicine,0
International Journal of Teacher Educational Research,1
Qatar Journal of Public Health,0
Zeitschrift der Gesellschaft für Musiktheorie,0
التراث الأدبي,0
Ideal Journal of Education and Policy Studies,1
Journal of Applied Packaging Research,0
Scientific Reports,0
International Journal of Humanities & Social Sciences,1
New Genetics and Society,0
Australian International Academic Centre Pty. Ltd.,1
Cellular and Molecular Gastroenterology and Hepatology,0
Journal of Information Management and Practices,0
Italian Journal of Educational Technology,0
International Journal of Engineering Researches and Management Studies,1
MNK Publication,1
Entomology and Applied Science Letters,1
Journal of The International Association of Advanced Technology and Science,1
International Journal of Advanced Research in Applied Science and Technology,1
Realidad y Reflexión,0
Revista Brasileira de Estudos Pedagógicos,0
Miscelánea de Estudios Árabes y Hebraicos: Sección Hebreo,0
Caribbean Journal of Science and Technology,1
Journal of Science,1
CONFAB Journals,1
Acta Humanitarica Academiae Saulensis,0
Interfaces and Free Boundaries,0
Open Access Text,1
Ciencia y Tecnología para la Salud Visual y Ocular,0
Regions & Cohesion,0
Mundo Eslavo,0
Periodica Polytechnica Architecture,0
Integrated Journal of British,1
Journal of the Turkish Chemical Society Section B: Chemical Engineering,0
International Refereed Journal Of Architecture and Design,1
Institute of Science Publishing,1
Computer Assisted Methods in Engineering and Science,0
Journal of Geophysics and Engineering,0
Revista Bahiana de Odontologia,0
Imperial Journals,1
Onoba. Revista de Arqueología y Antigüedad,0
Pubicon International Publications,1
Biodiversity and Natural History,0
Archivos de Prevención de Riesgos Laborales,0
Filozofia,0
"Journal of Agriculture, Food and Environment",0
Vow Scientific Quest,1
CAAI Transactions on Intelligence Technology,0
Journal of Ethics and Social Philosophy,0
Center for the Development and Dissemination of Knowledge,1
Greener Journals,1
Технічна інженерія,0
Revista de Ciencias Tecnológicas,0
Journal of China Computer-Assisted Language Learning,0
Boletim do Observatório Ambiental Alberto Ribeiro Lamego,0
Geothermal Energy,0
STM Connect,1
Agricultural and Resource Economics,0
International Journal of Engineering and Science,1
Gwagyeong Ilboneo Munhak Yeongu,0
Global Journal of Engineering Science and Research Management,1
Revue Critique de Fixxion Française Contemporaine,0
Quantum Topology,0
International Journal of Art and Humanity Science,1
IBIMA Publishing,1
Psicologia & Sociedade,0
Roczniki Biblioteczne,0
Świat Idei i Polityki,0
Voces de la educación,0
I-Economics: A Research Journal on Islamic Economics,0
NAMMCO Scientific Publications,0
Jurnal Farmasi Sains dan Praktis,0
Clinics in Oncology,1
International Journal of Web Research,0
Research in Education and Rehabilitation,0
Journal of Hydrology and Environment Research,1
South Asian Journal of Food Technology and Environment,1
E-Jurnal Matematika,0
Boletim do Museu Paraense Emílio Goeldi. Ciências Naturais,0
Journal of Research in Anaesthesology and Pain Medicine,1
Metabarcoding and Metagenomics,0
LabMed Discovery,0
Dyskurs & Dialog,0
Oak-Fortress Journals,1
De Musica Disserenda,0
International Online Knowledge Services Provider,1
International Research Journal of Advanced Engineering in Frontiers,1
Ashdin Publishing,1
International Journal of Engineering and Innovative Technology,1
IMED Research Publications,1
African Journal of Pentecostal Studies,0
Revue phénEPS,0
حکمت صدرایی,0
Open Biology,0
Orbeliani Law Review,0
International Academy for Science & Technology Education and Research,1
American Journal of Advances in Medical Science,1
Nuova Antologia Militare,0
Acta Medica Indonesiana,0
The Pan African Medical Journal,0
Landmark Research Journals,1
Kindi Publication,1
Revista Portuguesa de Pneumologia,0
Финансовый журнал,0
Taikomieji tyrimai studijose ir praktikoje,0
Serbian Journal of Management,0
Journal of Applied Informatics and Computing,0
Journal of International Anatolia Sport Science,1
"Electrical, Control and Communication Engineering",0
Journal of Humanities and Cultural Studies R&D,1
Medicine Plus,0
Scientific Light,1
Odous Científica,0
Ethan Publishing Company,1
Kufa Journal for Agricultural Sciences,0
Open Research Europe,0
IEEE Access,0
Mathematics and Modeling in Finance,0
Journal of Quantitative Description: Digital Media,0
International Journal of Computer Science and Information Security,1
Revista Peruana de Cardiología,0
Advances in Nonlinear Analysis,0
Universal Journal of Pharmaceutical Research,1
iRASD Journal of Management,0
JNPM (Jurnal Nasional Pendidikan Matematika),0
Asian-Pacific Journal of Second and Foreign Language Education,0
Revue Internationale des Études du Développement,0
Pediatric Emergency Medicine Journal,0
International Journal of Current Agricultural Sciences,1
Cadernos de Pesquisa,0
Global Technocrats & Intellectual’s Association,1
International Journal of Research Science and Management,1
Enfermería Global,0
Journal of Anaesthesia and Critical Care Case Reports,1
AIDS Research and Therapy,0
International Journal of Business Reflections,0
Nuevo mundo - Mundos Nuevos,0
American Journal of Research Communication,1
Journal of Patient-Reported Outcomes,0
Remedy Publications,1
Helics Scientific Network,1
Journal of Mid-Life Health,0
International Journal of Life-Sciences Scientific Research,1
American Research Thoughts,1
Estudios de Filosofía Práctica e Historia de las Ideas,0
Academia Research,1
Philanthropy: Journal of Psychology,0
World Scientific and Engineering Academy and Society,1
Journal of Applied Sciences and Environmental Management,0
International Recognition Research Journals,1
UCEJ (Untirta Civic Education Journal),0
Interfaces Brasil/Canadá,0
Lung India,0
Educação Matemática Debate,0
Biomedical Human Kinetics,0
International Journal of Review in Applied and Social Sciences,1
Revista MERCOSUR de Políticas Sociales,0
Zbornik Radova Akademije Umetnosti,0
Biuletyn Szadkowski,0
Astragalo,0
International Journal of Agriculture Innovations and Research,1
Tikrit Journal for Agricultural Sciences,0
Didáctica de las Ciencias Experimentales y Sociales,0
Brazilian Journal of Pharmaceutical Sciences,0
RNA & DISEASE,0
Halmac Research [Link dead as of 2016-05-23],1
JCSM Rapid Communications,0
e3Journals,1
Transport Economics and Management,0
BMC Medical Genomics,0
Actualidad Contable Faces,0
Cardiovascular Digital Health Journal,0
Canadian Center of Science and Education,1
Signo y Pensamiento,0
Journal of HerbMed Pharmacology,1
International Journal of Computer Science Trends and Technology,1
Clyto Access,1
Transformación,0
Brain Stimulation,0
Research in Pharmacy and Health Sciences,1
Nuclear Physics B,0
Journal of the National Science Foundation of Sri Lanka,0
Jurnal Al-Qardh,0
Revista Ciencias Veterinarias,0
Syrian Journal for Science and Innovation,0
International Journal of Research and Current Development,1
Publishing House of Sciences,1
Journal of Arts and Humanities,1
Историческое оружиеведение,0
Поволжский экологический журнал,0
Thetic Journals,1
Biopharm Journal,1
International Journal of Advanced Trends in Computer Applications,1
Revista Colombiana de Cardiología,0
مجلة الجمعية التربوية للدراسات الاجتماعية,0
"Egyptian Academic Journal of Biological Sciences. G, Microbiology",0
Культура і мистецтво у сучасному світі,0
Water S.A.,0
Academic Sciences,1
Современная терапия психических расстройств,0
BioMedInformatics,0
International Journal of Science and Advanced Technology,1
Journal of Mathematics and Computer Science,1
"Проблеми теорії та методології бухгалтерського обліку, контролю і аналізу",0
CARI Journals,1
حسابداری و بودجه‌ریزی بخش عمومی,0
"Journal of Financial Management, Markets and Institutions",0
Creneida,0
Contextes et Didactiques,0
Business Management Centre,1
American Indian Culture and Research Journal,0
Journal of International Academic Research for Multidisciplinary,1
EISRJC Journals,1
Syn-Thèses,0
European Medical Journal Neurology,0
Journal of Applied and Numerical Analysis,0
Institute of Electrical & Electronics Engineers Advanced Journal,1
Bakhtiniana: Revista de Estudos do Discurso,0
JES: Journal of Engineering Sciences,0
Revista NERA,0
Pacesetter Online Publishers,1
International Journal of All Research Education & Scientific Methods,1
Ain Shams Dental Journal,0
International Journal of Development Research,1
"Academic Publications, Ltd.",1
International Journal of Integrated Medical Research,1
Lähivõrdlusi,0
International Educational Scientific Research Journal,1
Eurasian Academy of Sciences,1
JScholar Journals,1
"Functional Analysis: Theory, Method & Applications",1
Ostrava Journal of English Philology,0
Academic Web Publishers,1
Excellent Word Journals,1
Universal Journal of Pharmacy,1
Journal of Mother-Tongue Biblical Hermeneutics and Theology,0
Interventional Medicine & Applied Science,0
Journal of Environmental and Tourism Analyses,0
"Journal of Knowledge Management, Economics and Information Technology",1
"Earth Science, Systems and Society",0
International Network for Scientific & Industrial Information,1
Clinical and Experimental Pediatrics,0
International Journal of Social Sciences & Educational Studies,0
MDM Policy & Practice,0
Golden Research Thoughts,1
Revista Integración,0
智慧农业,0
International Journal of Innovative and Emerging Research in Engineering,1
Research Chronicler,1
Alfred Nobel University Journal of Philology,0
Journal of English Language and Literature,1
DJ Publications,1
Confins,0
Synchro Publisher,1
Avanti Publishers.com,1
International Journal of Breast Cancer,0
Biomaterials and Tissue Engineering Bulletin,1
Записки з українського мовознавства,0
Revista UNEMAT de Contabilidade,0
Cosmopolitan Civil Societies: An Interdisciplinary Journal,0
Contabilidad y Auditoría,0
رویکرد‌های نوین در مدیریت و بازاریابی,0
Journal of Family Research,0
Journal of Management and Business Review,0
Forum Bibliotek Medycznych,0
Scripta,0
Science Record Journals,1
iSER Publications,1
Journal of Law and Ethics,1
International Journal for Research in Applied Science and Engineering Technology,1
Revista Científica de Ingeniería Industrial,0
Studia Migracyjne – Przegląd Polonijny,0
Columbia International Publishing,1
World Business Institute [alt],1
Journal of Numerical Cognition,0
Association of Computer Electronics and Electrical Engineers,1
Savant Journals,1
Revista Estudios Socio-Jurídicos,0
Studia Anglica Posnaniensia,0
Caspian Journal of Internal Medicine,0
"Global justice: Theory, Practice, Rhetoric",0
International Journal of Innovative Technology and Exploring Engineering,1
ABC Journals,1
International Journal of Pure and Applied Zoology,1
Annals of Clinical Case Reports,1
Research Revolution,1
International Journal of Innovative Research in Technology & Science,1
Nuclear Energy and Technology,0
Nonautonomous Dynamical Systems,0
International Journal of Information and Communication Technology Trends,1
"International Journal of Latest Trends in Engineering, Science and Technology",1
International Journal of Health Research in Modern Integrated Medical Sciences,1
Jaypee Journals,1
World Journals of Academic Advances,1
Revista de la Asociación Española de Neuropsiquiatría,0
"International Journal of Learning, Teaching and Educational Research",1
Journal of Scientific Theory and Methods,1
Bioinformation,1
Interdisciplinary Toxicology,1
Open Access Rheumatology: Research and Reviews,0
ClinMed International Library,1
Civil Engineering Journal,0
Friends Science Publishers,1
Quaderni di Sociologia,0
Estudios Eclesiásticos,0
Indonesian Journal of Islam and Muslim Societies,0
Arxius de Miscel-lània Zoològica,0
Archivo Español de Arqueología,0
International Journal of Pharmaceutical and Clinical Research,1
Journal of Materials and Environmental Science,1
Environmental Smoke,0
Plants Journal / Journal of Medicinal Plants Studies,1
Firat University Journal of Experimental and Computational Engineering,0
ETA Maths Journals,1
Sexual & Reproductive Healthcare,0
Sanamed,0
Redox Biology,0
Cardiovascular Therapeutics,0
South African Journal of Sports Medicine,0
Frontiers in Metals and Alloys,0
OA Publishing London,1
JTRM,0
Maxwell Scientific Organization,1
Journal of Entomology and Zoology Studies,1
Open Science Publications,1
Future Pharmacology,0
Fermentation,0
Sacha And Diamond Academic Publishers,1
North American Research Publishing,1
Ius Vocatio,0
International Journal of Scientific Research and Innovative Technology,1
Jai Maa Saraswati Gyandayini,1
Scientific Research Journal,1
Tabula,0
Journal of European CME,0
Necmettin Erbakan Üniversitesi Ahmet Keleşoğlu Eğitim Fakültesi Dergisi,0
International Journal of Biological & Pharmaceutical Research,1
Qualitative Sociology Review,0
Boletim do Arquivo da Universidade de Coimbra,0
الفكر الإسلامي المعاصر,0
Półrocznik Językoznawczy Tertium,0
Impossibilia: Revista Internacional de Estudios Literarios,0
International Journal of Liberal Arts & Social Science [last word also appears as “Sciences”],1
AgriHealth,0
Societies,0
International Journal of Food Science,0
Sprint Journals,1
Heritage,0
Revista Higía de la Salud,0
Indian Journal of Natural Sciences,1
Desafíos,0
Kenkyu Group,1
Annales Henri Lebesgue,0
Journal of Chemical and Pharmaceutical Sciences,1
Donnish Journals,1
Pezzottaite Journals,1
POCUS Journal,0
International Journal for Vitamin and Nutrition Research,0
Revista Digital de Postgrado,0
International Journal of Livestock Research,1
"Inventum Ingeniería, Tecnología e Investigación",0
Gopalax,1
Crop Health,0
International Research Journal of Pharmaceutical Sciences,1
Invention Journals,1
Informação & Tecnologia,0
Latin American Journal of Content and Language Integrated Learning,0
International Journal of Business and Administration Research Review,1
"Advances in Science, Technology and Engineering Systems Journal",1
World Business Institute,1
Revista de Derecho Político,0
WOAR Journals,1
‫مطالعات زبان و ترجمه,0
دورية نماء لعلوم الوحى والدراسات الإنسانية,0
Lingüística en la Red,0
Science & Engineering Research Support soCiety,1
Médiations & Médiatisations,0
Scientific Advances Publishers,1
Perspectives Médiévales,0
International Journal of Farming and Allied Sciences,1
Logeion,0
Statperson Publishing Corporation,1
Journal of Evolution of Research in Dermatology and Venerology,1
Das Amazônias,0
Acta Velit,1
International Journal of Scientific & Technology Research,1
International Journal of Applied Pharmaceutical Sciences and Biological Sciences,1
International Journal of Inventions in Pharmaceutical Sciences,1
International Journal of Wind and Renewable Energy,1
Optical Materials: X,0
Polish Cartographical Review,0
Advanced Industrial and Engineering Polymer Research,0
Centre for Promoting Knowledge,1
Journal of Applied Linguistics,1
International Journal of Medical Research & Health Sciences,1
Jurnal Fisioterapi dan Rehabilitasi,0
SciDoc Publishers,1
Plasma,0
Research Ambition,1
Archivos de Historia del Movimiento Obrero y la Izquierda,0
Malala,0
International Journals of Scientific Research Publications,1
European Journal of Business and Social Sciences,1
Учёт. Анализ. Аудит,0
International Journal of Particle Therapy,0
Palmet Dergisi,0
Journal of Aging and Rehabilitation,0
South Indian Journal Of Biological Sciences,1
Lokman Hekim Dergisi,0
International Journal of Research in Advanced Engineering and Technology,1
Frontiers in Sustainable Resource Management,0
Jurnal Akuntabilitas Manajemen Pendidikan,0
Buletinul de studii lingvistice şi interculturale,0
International Journal of Psychology and Behavioral Research,1
Journal of Science and Its Applications,1
Neuroscience Insights,0
Discourse Journals,1
Guruku,0
Обозрение психиатрии и медицинской психологии имени В.М. Бехтерева,0
AI-Linguistica,0
Scholar Science Journals,1
Mimbar Pendidikan: Jurnal Indonesia untuk Kajian Pendidikan,0
International Journal of Extreme Manufacturing,0
Dentamed Publishing,1
Journal of Data Science,0
Nordic Journal of Science and Technology Studies,0
Journal of Pharmacy Practice and Community Medicine,1
Boletín de Arte,0
Al-Balagh: Jurnal Dakwah dan Komunikasi,0
Jurnal Inovasi Hasil Pengabdian Masyarakat,0
IERI & PRESS,1
Journal of Basic and Environmental Sciences,1
"International Journal & Magazine of Engineering, Technology, Management and Research",1
Aufau Periodicals,1
The Modern Journal of Applied Linguistics,1
Society for Science and Nature,1
International Journal of Engineering Innovations and Research,1
The Online Journal of Distance Education and e-Learning,1
Jurnal Pendidikan dan Kewirausahaan,0
International Research Journal of Sustainable Science & Engineering,1
International Journal of Precious Engineering Research and Applications,1
Revista Iberoamericana de las Ciencias Biológicas y Agropecuarias,1
Cuadernos de Rusística Española,0
Revista Docência do Ensino Superior,0
Portugaliae Mathematica,0
Journal of Geography Education in Africa,0
Whites Science,1
Genome Medicine,0
